,0,1,2
672,light my fire,the doors,7aghcqWLL9hGMIb0VFdbyD
673,light my fire,the doors,6l8BhUGXyQWFGWJY5tohDC
674,happy together,the turtles,1JO1xLtVc8mWhIoE3YaCL0
675,happy together,the turtles,2admbUc576sC6M0QeUkg2C
676,groovin,the young rascals,3c2kMiSB86tVq1J4oULmvL
677,groovin,the young rascals,6krYiEjgGJaMJMTjW7OJ7L
678,cant take my eyes off you,frankie valli,6ft9PAgNOjmZ2kFVP7LGqb
679,cant take my eyes off you,frankie valli,13jJu9zoXOQnqiLaJsg41K
680,i think were alone now,tommy james and the shondells,3AXDLGI5TIYi72JcYFvNpv
681,i think were alone now,tommy james and the shondells,4gxaW9GptUInJt5RYljbmn
682,i think were alone now,tommy james and the shondells,5tSmbrQIU0kgoYDb2TBryX
683,respect,aretha franklin,7s25THrKz86DM225dOYwnr
684,respect,aretha franklin,5AoTuHE5P5bvC7BBppYnja
685,respect,aretha franklin,5WzvMWs3IrIWnLL77XUmFI
686,i was made to love her,stevie wonder,2aCKBrLn7rbhStk5k4FwnF
687,i was made to love her,stevie wonder,7yJiONQ7slyHHoOEMGpit9
688,i was made to love her,stevie wonder,1h1KKxStFdlJsPkncYNKg8
689,i was made to love her,stevie wonder,7iqx86Dkqswx7Hf14IkNq7
690,i was made to love her,stevie wonder,0oche7ouDr39n1yWFPVWat
691,i was made to love her,stevie wonder,5GnDlr34Thqf3C5UrRUpWr
692,i was made to love her,stevie wonder,2mee8crLYSz5V7FXNNKLbu
693,i was made to love her,stevie wonder,1yuKeyyO5NHAHQi0tWgIlA
694,i was made to love her,stevie wonder,0LA2TNvGFBnS46DxlC1RvX
695,i was made to love her,stevie wonder,4srcyN1mn0cghrDSffKpIq
696,come back when you grow up,bobby vee,56syoOlt0eFhDd26cPSoee
697,come back when you grow up,bobby vee,0mxTuoTdOc7cJZYAqCiGG8
698,come back when you grow up,bobby vee,7olkswgw6Apqc3cIWgmGbI
699,come back when you grow up,bobby vee,3FlZv9dxmIichgJ2ei74P4
700,come back when you grow up,bobby vee,6wGJ929zqAltxHYLGSxcph
701,come back when you grow up,bobby vee,20U2z9sf2mnF8OgQMrVixh
702,come back when you grow up,bobby vee,4ElAyowby64HuVtkwQRkIh
703,come back when you grow up,bobby vee,5yXPbqzqeaZvDwKKHoCAk2
704,come back when you grow up,bobby vee,0KcSgSdUNLgH0tK8cEfWEb
705,come back when you grow up,bobby vee,19ykK7pzQ4hl1eBzBFRZ3F
706,come back when you grow up,bobby vee,2lR5hw2CAtGJlHcGWKqykx
707,come back when you grow up,bobby vee,2WUiEdo5QiK2a15r2wYCHP
708,come back when you grow up,bobby vee,5URidZNDToleRnbUs0Blj3
709,come back when you grow up,bobby vee,2UyQPfLY6RwMGSd5SxdT0i
710,come back when you grow up,bobby vee,6okL9WSPgXoswK8dNoH6HD
711,come back when you grow up,bobby vee,2n925CVSTFhy0FH6V9NgDT
712,kind of a drag,the buckinghams,3RnsnfrquBAy6kIejQzc2C
713,kind of a drag,the buckinghams,5NfMMASaRz01fltWjbYoLu
714,kind of a drag,the buckinghams,65wUTKQhWvfCoGvayiJ4du
715,sweet soul music,arthur conley,0pvA063uNyGQFp7DNtmk0P
716,sweet soul music,arthur conley,13PCBgjFVs1JYRRsdTSj5W
717,sweet soul music,arthur conley,4z0SEy6LPBKWAJWM6VwtM1
718,sweet soul music,arthur conley,4iV9451W6WrY0kJYgKZua6
719,sweet soul music,arthur conley,6Zkq3yk1qrNovJr7YwycAA
720,sweet soul music,arthur conley,6VZqBcAjkpcTTSEKYCJxQH
721,expressway to your heart,the soul survivors,5BklSzHGznyYMUN52AClsx
722,never my love,the association,1Qg461X3iSU9oaQhKOA7Re
723,never my love,the association,32ssNweOtmacNBEC2kHzA8
